Store,SUM of Sales,SUM of Customers,AVERAGE of Sales,AVERAGE of Customers,,,DayOfWeek,AVERAGE of Sales,AVERAGE of Customers,,,,,,,
1,5970,701,1990.00,233.67,,,1,7549.95,757.33,,,,,,,
2,13000,1571,3250.00,392.75,,,2,6880.96,722.78,,,,,,,
3,40470,4582,5781.43,654.57,,,3,6335.84,656.96,,,,,,,
4,38307,5322,7661.40,1064.40,,,4,6105.27,634.32,,,,,,,
5,10769,1841,3589.67,613.67,,,5,6630.42,698.58,,,,,,,
6,21135,1485,5283.75,371.25,,,6,5422.67,602.39,,,,,,,
7,24202,2688,8067.33,896.00,,,7,169.21,27.91,,,,,,,
8,29673,3254,5934.60,650.80,,,Grand Total,5559.49,583.14,,,,,,,
9,24813,1513,4962.60,302.60,,,,,,,,,,,,
10,9133,1131,3044.33,377.00,,,,,,,,,,,,
11,41661,5860,8332.20,1172.00,,,,,,,,,,,,
12,13122,912,4374.00,304.00,,,,,,,,,,,,
13,14768,1016,7384.00,508.00,,,Promo,AVERAGE of Sales,AVERAGE of Customers,,,,,,,
14,0,0,0.00,0.00,,,Yes,7694.72,749.67,,,,,,,
15,5963,633,2981.50,316.50,,,No,4232.23,479.62,,,,,,,
16,29938,4018,5987.60,803.60,,,Grand Total,5559.49,583.14,,,,,,,
17,31713,5477,4530.43,782.43,,,,,,,,,,,,
18,18264,1900,4566.00,475.00,,,,,,,,,,,,
19,24219,2307,6054.75,576.75,,,,,,,,,,,,
20,16591,1819,5530.33,606.33,,,,,,,,,,,,
21,19969,1799,6656.33,599.67,,,CompetitionCategory,AVERAGE of Sales,AVERAGE of Customers,,,,,,,
22,4272,507,1068.00,126.75,,,Far,6733.26,678.62,,,,,,,
23,32436,3471,4054.50,433.88,,,Medium,6077.15,651.90,,,,,,,
24,97969,6613,10885.44,734.78,,,Near,6541.83,683.06,,,,,,,
25,25302,4988,8434.00,1662.67,,,Grand Total,6539.40,673.14,,,,,,,
26,35706,2962,5951.00,493.67,,,,,,,,,,,,
27,18176,2152,9088.00,1076.00,,,,,,,,,,,,
28,32939,3352,4705.57,478.86,,,,,,,,,,,,
29,28291,2483,5658.20,496.60,,,,Assortment,Values,,,,,,,
30,7528,1229,2509.33,409.67,,,,Basic,,,Extended,,,Extra,,
31,22970,1693,5742.50,423.25,,,StoreType,AVERAGE of Sales,SUM of Sales,AVERAGE of Customers,AVERAGE of Sales,SUM of Sales,AVERAGE of Customers,AVERAGE of Sales,SUM of Sales,AVERAGE of Customers
32,7845,864,2615.00,288.00,,,A,5247.89,7661919.00,565.2431507,6234.47,4526226,677.1735537,,,
33,22087,3015,3681.17,502.50,,,B,10368.77,321432.00,1630.225806,,,,10951.92857,153327,2359.785714
34,28800,3860,4800.00,643.33,,,C,5343.46,1624412.00,654.4243421,5982.09,1262222,629.1753555,,,
35,44109,3356,7351.50,559.33,,,D,4981.53,2037446.00,442.5452323,5826.49,4008628,477.2340116,,,
36,37470,4438,6245.00,739.67,,,Grand Total,5283.67,11645209.00,569.7540835,6028.97,9797076,586.2898462,10951.92857,153327,2359.785714
37,4407,579,1469.00,193.00,,,,,,,,,,,,
38,14687,1290,3671.75,322.50,,,,,,,,,,,,
39,20056,2636,4011.20,527.20,,,StoreType,SUM of Sales,,,,,,,,
