Store,DayOfWeekNumber,DayOfWeekName,SaleDate,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,HasCompetition,CompetitionDistance,CompetitionCategory,CompetitionOpenDate,StorePromo,PromoSinceWeek,PromoSinceYear,PromoInterval
2,2,Tue,14/04/08,4475,519,Yes,No,No,No,A,Basic,Yes,570,#REF!,01/11/07,Yes,13,2010,"Jan,Apr,Jul,Oct"
2,4,Thu,25/07/13,3531,496,Yes,No,No,Yes,A,Basic,Yes,570,#REF!,01/11/07,Yes,13,2010,"Jan,Apr,Jul,Oct"
2,4,Thu,14/09/18,4994,556,Yes,Yes,No,No,A,Basic,Yes,570,Far,01/11/07,Yes,13,2010,"Jan,Apr,Jul,Oct"
3,1,Mon,15/02/09,5027,643,Yes,No,No,No,A,Basic,Yes,14130,Medium,01/12/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
3,4,Thu,21/03/13,8245,855,Yes,Yes,No,No,A,Basic,Yes,14130,Medium,01/12/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
3,3,Wed,03/09/14,8659,843,Yes,Yes,No,No,A,Basic,Yes,14130,Medium,01/12/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
3,4,Thu,23/10/14,7177,788,Yes,Yes,No,No,A,Basic,Yes,14130,Far,01/12/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
3,1,Mon,08/11/14,6114,757,Yes,No,No,Yes,A,Basic,Yes,14130,Far,01/12/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
3,1,Mon,14/03/24,5248,696,Yes,No,No,No,A,Basic,Yes,14130,Far,01/12/06,Yes,14,2011,"Jan,Apr,Jul,Oct"
11,3,Wed,15/03/04,8625,1154,Yes,Yes,No,No,A,Extended,Yes,960,Far,01/11/11,Yes,1,2012,"Jan,Apr,Jul,Oct"
11,5,Fri,14/04/11,7547,1132,Yes,No,No,No,A,Extended,Yes,960,Far,01/11/11,Yes,1,2012,"Jan,Apr,Jul,Oct"
11,2,Tue,24/03/15,6661,997,Yes,No,No,No,A,Extended,Yes,960,Far,01/11/11,Yes,1,2012,"Jan,Apr,Jul,Oct"
11,4,Thu,15/05/28,7172,1009,Yes,No,No,No,A,Extended,Yes,960,Far,01/11/11,Yes,1,2012,"Jan,Apr,Jul,Oct"
11,1,Mon,13/12/30,11656,1568,Yes,No,No,Yes,A,Extended,Yes,960,Far,01/11/11,Yes,1,2012,"Jan,Apr,Jul,Oct"
15,6,Sat,09/03/13,5963,633,Yes,No,No,No,D,Extended,Yes,4110,Far,01/03/10,Yes,14,2011,"Jan,Apr,Jul,Oct"
17,1,Mon,19/08/13,5084,768,Yes,No,No,Yes,A,Basic,Yes,50,Far,01/12/05,Yes,26,2010,"Jan,Apr,Jul,Oct"
17,4,Thu,22/08/13,5244,807,Yes,No,No,Yes,A,Basic,Yes,50,Far,01/12/05,Yes,26,2010,"Jan,Apr,Jul,Oct"
