Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
616,7,2015-05-24,$0.00,0,0,0,0,0
592,2,"March 26, 2013","$5,548.00",,1,Active,0,1
526,6 day,"September 14, 2013","$7,467.00",1150,1,0,0,0
601,2,13.07.23,"$3,360.00",323,1,0,0,1
953,1,12-15-2014,"$11,414.00",853.0,1,1,0,0
166,7 day,06-15-2014,$0.00,0.0,0,0,0,0
842,1,11/11/2013,"$14,126.00",,1,0,0,0
813,4,05-02-2013,"$6,299.00",718,1,Active,0,0
840,1,"July 29, 2013","$10,515.00",1364,1,1,0,1
529,2,04/03/2014,"$7,713.00",759,1,Active,0,0
616,4,08-29-2013,"$9,053.00",839,1,Active,0,1
216,1,11-25-2013,,883,1,0,0,0
375,2,2013-06-11,"$7,630.00",765,1,0,0,0
857,5,"March 07, 2014","$6,834.00",,1,1,0,0
444,5,14.07.04,"$9,950.00",1149,1,Active,0,0
935,1,08-26-2013,"$7,303.00",775,1,Active,0,0
817,2,2013-11-12,"$21,956.00",,1,0,0,0
797,6,10-12-2013,"$3,190.00",343,1,0,0,0
592,4,13.07.04,"$6,387.00",825,1,1,0,0
267,2,13.12.10,"$9,437.00",1118,1,0,0,0
178,4,07-23-2015,"$9,254.00",864,1,0,0,1
244,4,2014-11-06,"$6,072.00",552,1,1,0,0
208,3,27/03/2013,"$3,698.00",523.0,1,1,0,1
1082,6 day,2013-04-20,"$5,004.00",818,1,0,0,0
310,7,05-26-2013,"$2,075.00",,1,0,0,0
110,1,2015-03-02,"$5,353.00",625,1,1,0,0
340,,01-08-2015,"$5,480.00",608,1,Active,0,0
1063,4,14.04.17,"$5,430.00",678,1,Active,0,0
301,1,06-29-2015,"$7,128.00",,1,1,0,0
455,2,12-24-2013,"$6,503.00",413,1,0,0,1
552,1,2014-05-12,"$5,852.00",658,1,0,0,0
678,3,12/02/2014,"$5,174.00",732,1,0,0,0
518,5,13.03.01,"$5,281.00",497,1,0,0,0
125,,24/07/2014,"$9,337.00",1308,1,0,0,1
790,4 day,2015-07-09,"$6,570.00",,1,0,0,0
70,3,,"$7,306.00",780,1,Active,0,0
993,5,22/02/2013,"$8,928.00",889,1,Active,0,0
431,6,02-08-2014,"$8,752.00",962,1,0,0,0
838,3,,"$6,997.00",774,1,0,0,0
931,2,14.04.22,"$4,381.00",530,1,0,0,1
781,7,2015-01-18,$0.00,0,0,0,0,0
126,1,08/04/2013,"$12,813.00",,1,Active,0,0
